activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,1424244,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCN1C(=O)c2ccccc2C1(OCCCO)c1ccccc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,,CHEMBL178320,,CHEMBL178320,,False,http://www.openphacts.org/units/Nanomolar,366177,>,1,True,>,,IC50,nM,,500000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,500.0
,1424245,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCN1C(=O)c2ccccc2C1(OCCc1ccccn1)c1ccccc1,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '10.74', 'le': '0.20', 'lle': '-0.41', 'sei': '9.43'}",CHEMBL178504,,CHEMBL178504,4.00,False,http://www.openphacts.org/units/Nanomolar,366183,=,1,True,=,,IC50,nM,,100000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,100.0
,1424246,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)c1ccc(COC2(c3ccc(Cl)cc3)c3ccccc3C(=O)N2Cc2ccccc2)cc1,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '8.07', 'le': '0.15', 'lle': '-3.71', 'sei': '13.56'}",CHEMBL180862,,CHEMBL180862,4.00,False,http://www.openphacts.org/units/Nanomolar,366190,=,1,True,=,,IC50,nM,,99000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,99.0
,1424247,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc(COC2(c3ccc(Cl)cc3)c3ccccc3C(=O)N2Cc2ccccc2)cc(OC)c1O,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '8.48', 'le': '0.16', 'lle': '-1.76', 'sei': '6.41'}",CHEMBL181083,,CHEMBL181083,4.38,False,http://www.openphacts.org/units/Nanomolar,366196,=,1,True,=,,IC50,nM,,42000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,42.0
,1424248,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCN1C(=O)c2ccccc2C1(OCc1ccc(C(C)(C)C)cc1)c1ccc(Cl)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,,CHEMBL361345,,CHEMBL361345,,False,http://www.openphacts.org/units/Nanomolar,366202,=,1,True,=,,IC50,nM,,187000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,187.0
,1424249,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCN1C(=O)c2ccccc2C1(OCc1cc(OC)c(O)c(OC)c1)c1ccc(Cl)cc1,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '11.27', 'le': '0.22', 'lle': '-0.07', 'sei': '7.73'}",CHEMBL360944,,CHEMBL360944,5.28,False,http://www.openphacts.org/units/Nanomolar,366207,=,1,True,=,,IC50,nM,,5300.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,5.3
,1424250,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCN1C(=O)c2ccccc2C1(OCCCO)c1ccc(Cl)cc1,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '13.30', 'le': '0.26', 'lle': '0.98', 'sei': '9.61'}",CHEMBL433949,,CHEMBL433949,4.79,False,http://www.openphacts.org/units/Nanomolar,366212,=,1,True,=,,IC50,nM,,16400.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,16.4
,1424251,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCN1C(=O)c2ccccc2C1(OCCc1ccccn1)c1ccc(Cl)cc1,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '10.43', 'le': '0.20', 'lle': '-0.82', 'sei': '10.00'}",CHEMBL362614,,CHEMBL362614,4.24,False,http://www.openphacts.org/units/Nanomolar,366217,=,1,True,=,,IC50,nM,,57000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,57.0
,1424255,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(=O)NCCN1C(=O)c2ccccc2C1(OCc1ccc(C(C)(C)C)cc1)c1ccc(Cl)cc1,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '8.23', 'le': '0.16', 'lle': '-1.61', 'sei': '6.89'}",CHEMBL361354,,CHEMBL361354,4.04,False,http://www.openphacts.org/units/Nanomolar,366234,=,1,True,=,,IC50,nM,,91400.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,91.4
,1424256,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc(COC2(c3ccc(Cl)cc3)c3ccccc3C(=O)N2CCNC(C)=O)cc(OC)c1O,,,CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,"{'bei': '8.06', 'le': '0.16', 'lle': '0.05', 'sei': '4.23'}",CHEMBL179339,,CHEMBL179339,4.12,False,http://www.openphacts.org/units/Nanomolar,366239,=,1,True,=,,IC50,nM,,76000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,76.0
,1424668,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc(COC2(c3ccc(OCOCC[Si](C)(C)C)cc3)c3ccccc3C(=O)N2Cc2ccccc2)cc(OC)c1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,,CHEMBL362410,,CHEMBL362410,,False,http://www.openphacts.org/units/Nanomolar,366240,=,1,True,=,,IC50,nM,,257000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,257.0
,1424669,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCN1C(=O)c2ccccc2C1(OCc1ccc(C(C)(C)C)cc1)c1ccc(OCOCC[Si](C)(C)C)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,,CHEMBL178215,,CHEMBL178215,,False,http://www.openphacts.org/units/Nanomolar,366247,=,1,True,=,,IC50,nM,,464000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,464.0
,1424670,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCN1C(=O)c2ccccc2C1(OCc1cc(OC)c(O)c(OC)c1)c1ccc(OCOCC[Si](C)(C)C)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,,CHEMBL361630,,CHEMBL361630,,False,http://www.openphacts.org/units/Nanomolar,366259,=,1,True,=,,IC50,nM,,118000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,118.0
,1424671,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCN1C(=O)c2ccccc2C1(OCCCO)c1ccc(OCOCC[Si](C)(C)C)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,,CHEMBL447529,,CHEMBL447529,,False,http://www.openphacts.org/units/Nanomolar,366267,=,1,True,=,,IC50,nM,,476000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,476.0
,1424672,[],CHEMBL828042,Inhibitory concentration against MDM2-p53 interaction in SJSA human sarcoma cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCN1C(=O)c2ccccc2C1(OCCc1ccccn1)c1ccc(OCOCC[Si](C)(C)C)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1142026,Bioorg. Med. Chem. Lett.,2005,,CHEMBL426784,,CHEMBL426784,,False,http://www.openphacts.org/units/Nanomolar,366173,=,1,True,=,,IC50,nM,,312000.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,312.0
,1429025,[],CHEMBL833471,Inhibition of p53-binding to HDM2 (human MDM2) by fluorescence polarization peptide displacement assay,B,,,BAO_0000190,BAO_0000224,protein format,CC(C)c1ccc([C@@H](C(=O)O)N2C(=O)c3cc(I)ccc3NC(=O)[C@@H]2c2ccc(Cl)cc2)cc1,,,CHEMBL1140282,Bioorg. Med. Chem. Lett.,2005,"{'bei': '9.87', 'le': '0.23', 'lle': '-0.22', 'sei': '6.70'}",CHEMBL179446,,CHEMBL179446,5.81,False,http://www.openphacts.org/units/Nanomolar,368101,=,1,True,=,,IC50,nM,,1550.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,1.55
,1429027,[],CHEMBL833471,Inhibition of p53-binding to HDM2 (human MDM2) by fluorescence polarization peptide displacement assay,B,,,BAO_0000190,BAO_0000224,protein format,CC(C)(C)c1ccc([C@@H](C(=O)O)N2C(=O)c3cc(I)ccc3NC(=O)[C@@H]2c2ccc(Cl)cc2)cc1,,,CHEMBL1140282,Bioorg. Med. Chem. Lett.,2005,"{'bei': '9.36', 'le': '0.22', 'lle': '-0.56', 'sei': '6.51'}",CHEMBL180799,,CHEMBL180799,5.64,False,http://www.openphacts.org/units/Nanomolar,368107,=,1,True,=,,IC50,nM,,2270.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,2.27
,1429028,[],CHEMBL833471,Inhibition of p53-binding to HDM2 (human MDM2) by fluorescence polarization peptide displacement assay,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@H](c1ccc(C(F)(F)F)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,,,CHEMBL1140282,Bioorg. Med. Chem. Lett.,2005,"{'bei': '10.04', 'le': '0.24', 'lle': '0.25', 'sei': '7.12'}",CHEMBL178301,,CHEMBL178301,6.17,False,http://www.openphacts.org/units/Nanomolar,368113,=,1,True,=,,IC50,nM,,670.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,0.67
,1429029,[],CHEMBL833471,Inhibition of p53-binding to HDM2 (human MDM2) by fluorescence polarization peptide displacement assay,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@H](c1ccc(O)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,,,CHEMBL1140282,Bioorg. Med. Chem. Lett.,2005,"{'bei': '8.50', 'le': '0.20', 'lle': '0.17', 'sei': '4.47'}",CHEMBL361220,,CHEMBL361220,4.78,False,http://www.openphacts.org/units/Nanomolar,368118,=,1,True,=,,IC50,nM,,16500.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,16.5
,1429031,[],CHEMBL833471,Inhibition of p53-binding to HDM2 (human MDM2) by fluorescence polarization peptide displacement assay,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,,,CHEMBL1140282,Bioorg. Med. Chem. Lett.,2005,"{'bei': '10.97', 'le': '0.27', 'lle': '0.82', 'sei': '7.35'}",CHEMBL361103,,CHEMBL361103,6.38,False,http://www.openphacts.org/units/Nanomolar,368123,=,1,True,=,,IC50,nM,,420.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,0.42
,1429034,[],CHEMBL833471,Inhibition of p53-binding to HDM2 (human MDM2) by fluorescence polarization peptide displacement assay,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@H](c1ccc(Br)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,,,CHEMBL1140282,Bioorg. Med. Chem. Lett.,2005,"{'bei': '9.92', 'le': '0.26', 'lle': '0.54', 'sei': '7.16'}",CHEMBL181148,,CHEMBL181148,6.21,False,http://www.openphacts.org/units/Nanomolar,368127,=,1,True,=,,IC50,nM,,620.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,0.62
,1429036,[],CHEMBL833471,Inhibition of p53-binding to HDM2 (human MDM2) by fluorescence polarization peptide displacement assay,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(C(F)(F)F)cc1,,,CHEMBL1140282,Bioorg. Med. Chem. Lett.,2005,"{'bei': '10.10', 'le': '0.24', 'lle': '0.29', 'sei': '7.16'}",CHEMBL181252,,CHEMBL181252,6.21,False,http://www.openphacts.org/units/Nanomolar,368043,=,1,True,=,,IC50,nM,,620.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,0.62
,1429039,[],CHEMBL833471,Inhibition of p53-binding to HDM2 (human MDM2) by fluorescence polarization peptide displacement assay,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(OC(F)(F)F)cc1,,,CHEMBL1140282,Bioorg. Med. Chem. Lett.,2005,"{'bei': '11.23', 'le': '0.27', 'lle': '1.28', 'sei': '7.38'}",CHEMBL369560,,CHEMBL369560,7.08,False,http://www.openphacts.org/units/Nanomolar,368053,=,1,True,=,,IC50,nM,,83.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,0.083
,1429041,[],CHEMBL833471,Inhibition of p53-binding to HDM2 (human MDM2) by fluorescence polarization peptide displacement assay,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)[C@H](c1cccc(Cl)c1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,,,CHEMBL1140282,Bioorg. Med. Chem. Lett.,2005,"{'bei': '9.58', 'le': '0.24', 'lle': '0.01', 'sei': '6.42'}",CHEMBL367821,,CHEMBL367821,5.57,False,http://www.openphacts.org/units/Nanomolar,368059,=,1,True,=,,IC50,nM,,2700.0,CHEMBL1907611,Homo sapiens,Tumour suppressor p53/oncoprotein Mdm2,9606,,,IC50,uM,UO_0000065,,2.7
